"Signal Time","Game","Player","Market","Side","Line","Odds","Book","EV %","Hit Rate %","Num Games","Baba Lock?","Confirmation Books","Player ID","Event ID","Commence Time","Market Key","Resolved?","Actual Outcome","Actual Stat","Resolved Time","Notes"
"2026-02-27T08:50:31.231943-05:00","DET Pistons vs CLE Cavaliers (7:10 PM EST)","James Harden","Threes","Over","2.5","-107","BallyBet","2.97","70.0","10","False","FD at -132, DK at -121, ESPN at -120","192","cf8cdaeaad30f552b5926615f7d28cab","2026-02-28 00:10:00+00:00","player_threes","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T08:50:32.922510-05:00","DET Pistons vs CLE Cavaliers (7:10 PM EST)","James Harden","Threes","Over","2.5","100","HardRockBet","6.45","70.0","10","True","FD at -132, DK at -121, ESPN at -120","192","cf8cdaeaad30f552b5926615f7d28cab","2026-02-28 00:10:00+00:00","player_threes","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T08:50:43.059319-05:00","BOS Celtics vs BKN Nets (7:40 PM EST)","Payton Pritchard","Rebounds Assists","Over","9.5","105","HardRockBet","3.74","60.0","10","False","FD at -118, DK at -115, ESPN at -115","3547276","e1e1a9d8e15113a1bd412d2137a14251","2026-02-28 00:40:00+00:00","player_rebounds_assists","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T08:50:57.274087-05:00","MIL Bucks vs NYK Knicks (8:10 PM EST)","Ryan Rollins","Rebounds Assists","Over","9.5","110","HardRockBet","3.73","50.0","10","False","FD at -112, DK at -113, ESPN at -110","38017712","0187f9083f62982033a3af48bf31bec9","2026-02-28 01:10:00+00:00","player_rebounds_assists","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T08:50:58.755691-05:00","MIL Bucks vs NYK Knicks (8:10 PM EST)","Ryan Rollins","Rebounds Assists","Over","9.5","110","BetMGM","3.73","50.0","10","False","FD at -112, DK at -113, ESPN at -110","38017712","0187f9083f62982033a3af48bf31bec9","2026-02-28 01:10:00+00:00","player_rebounds_assists","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T08:51:09.095297-05:00","DAL Mavericks vs MEM Grizzlies (8:40 PM EST)","Max Christie","Rebounds","Under","3.5","105","HardRockBet","7.44","80.0","10","True","FD at -128, DK at -133, ESPN at -125","38017697","173782733e149dd225b1ee09169ee375","2026-02-28 01:40:00+00:00","player_rebounds","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T08:56:18.105286-05:00","BOS Celtics vs BKN Nets (7:40 PM EST)","Payton Pritchard","Rebounds","Over","3.5","-105","HardRockBet","1.81","50.0","10","False","FD at -125, DK at -128, ESPN at -125","3547276","e1e1a9d8e15113a1bd412d2137a14251","2026-02-28 00:40:00+00:00","player_rebounds","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T08:56:19.710819-05:00","BOS Celtics vs BKN Nets (7:40 PM EST)","Payton Pritchard","Rebounds","Over","3.5","-105","BetMGM","1.81","50.0","10","False","FD at -125, DK at -128, ESPN at -125","3547276","e1e1a9d8e15113a1bd412d2137a14251","2026-02-28 00:40:00+00:00","player_rebounds","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T09:01:40.054971-05:00","MIL Bucks vs NYK Knicks (8:10 PM EST)","Ryan Rollins","Assists","Over","4.5","-130","HardRockBet","3.14","60.0","10","False","FD at -166, ESPN at -160, Pinnacle at -180","38017712","0187f9083f62982033a3af48bf31bec9","2026-02-28 01:10:00+00:00","player_assists","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T09:01:50.151331-05:00","DAL Mavericks vs MEM Grizzlies (8:40 PM EST)","Daniel Gafford","Points","Under","9.5","-105","HardRockBet","3.92","70.0","10","True","FD at -132, DK at -122, ESPN at -125","666577","173782733e149dd225b1ee09169ee375","2026-02-28 01:40:00+00:00","player_points","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
"2026-02-27T09:12:29.375327-05:00","DAL Mavericks vs MEM Grizzlies (8:40 PM EST)","Naji Marshall","Rebounds Assists","Under","9.5","100","DraftKings","3.83","60.0","10","False","FD at -125, DK at 100, ESPN at -115","3547293","173782733e149dd225b1ee09169ee375","2026-02-28 01:40:00+00:00","player_rebounds_assists","True","Void","DNP or no data","2026-03-01T16:11:21.980282+00:00",""
